celltype,rank,gene,attribution,type
CD8+/CD45RA+ Naive Cytotoxic,4,KLRB1,-0.00061145175,bottom
CD8+/CD45RA+ Naive Cytotoxic,5,CD300A,-0.0005706024,bottom
CD8+/CD45RA+ Naive Cytotoxic,6,NKG7,-0.000544705,bottom
CD8+/CD45RA+ Naive Cytotoxic,7,RNASE6,-0.00047244033,bottom
CD8+/CD45RA+ Naive Cytotoxic,8,TIGIT,-0.00044822792,bottom
CD8+/CD45RA+ Naive Cytotoxic,9,CST7,-0.000438828,bottom
CD8+/CD45RA+ Naive Cytotoxic,10,HLA-DRA,-0.00043193123,bottom
CD8+/CD45RA+ Naive Cytotoxic,11,HOPX,-0.00043054423,bottom
CD8+/CD45RA+ Naive Cytotoxic,12,CEBPD,-0.00042148534,bottom
CD8+/CD45RA+ Naive Cytotoxic,13,LGALS3,-0.00041121175,bottom
CD8+/CD45RA+ Naive Cytotoxic,14,LIMS1,-0.00038336258,bottom
CD8+/CD45RA+ Naive Cytotoxic,15,GZMA,-0.00038119752,bottom
Dendritic,1,LYZ,0.0005206209,top
Dendritic,2,HLA-DRA,0.0003480125,top
Dendritic,3,CD4,0.0003382687,top
Dendritic,4,CST3,0.00032113722,top
Dendritic,5,HLA-DQA2,0.0003050203,top
Dendritic,6,HLA-DRB5,0.00028770158,top
Dendritic,7,CPVL,0.000255332,top
Dendritic,8,HLA-DQB1,0.00022594008,top
Dendritic,9,SPI1,0.00022223352,top
Dendritic,10,HLA-DPA1,0.0002183642,top
Dendritic,11,HLA-DQA1,0.00021765984,top
Dendritic,12,SERPINA1,0.0002153659,top
Dendritic,13,FCER1A,0.00021280932,top
Dendritic,14,LGALS1,0.00019725319,top
Dendritic,15,HLA-DRB1,0.00019175262,top
Dendritic,1,CD8B,-0.00021475967,bottom
Dendritic,2,CD8A,-0.00017774271,bottom
Dendritic,3,APOBEC3A,-0.00017381669,bottom
Dendritic,4,CDA,-0.00011598262,bottom
Dendritic,5,S100B,-0.00011302496,bottom
Dendritic,6,HK3,-0.0001026714,bottom
Dendritic,7,RBP7,-0.00010262912,bottom
Dendritic,8,CD7,-9.960214e-05,bottom
Dendritic,9,RETN,-9.266406e-05,bottom
Dendritic,10,CTSW,-9.231507e-05,bottom
Dendritic,11,STAB1,-8.583474e-05,bottom
Dendritic,12,ANKRD11,-8.27853e-05,bottom
Dendritic,13,HCST,-8.24218e-05,bottom
Dendritic,14,EHBP1L1,-8.228679e-05,bottom
Dendritic,15,AIF1,-8.159884e-05,bottom
